timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535505931717,146432000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505932722,67598,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505932722,22126,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505932722,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505932722,730112000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505933723,67612,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505933723,19548,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505933723,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505933723,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505934723,67675,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505934723,28304,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505934723,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505934723,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505935724,67510,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505935724,28660,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505935724,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505935724,6144000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505936730,67559,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505936730,22415,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505936730,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505936730,238592000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505937731,67578,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505937731,5992,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505937731,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505937731,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
