1536202933789,1650,Submit UW Checker,200,OK,5_UI_UW_LOAandCorro_BGB 2-1,text,true,,130144,0,1,1,0,0,0
1536202959643,148,Log Out,200,OK,5_UI_UW_LOAandCorro_BGB 2-1,text,true,,6835,0,1,1,0,0,0
1536542334034,1127,Navigate to Landing Page,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,6835,0,1,3,0,0,0
1536542347215,1521,User Login,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,564532,0,1,3,0,0,0
1536542361379,1608,Search Life,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,140114,0,1,3,0,0,0
1536542367322,612,Click Initial Assessment,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,293326,0,1,3,0,0,0
1536542371108,2176,Click Make Decision Button,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,167792,0,1,3,0,0,0
1536542377100,57,Click Make Decision Status,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,234250,0,1,3,0,0,0
1536542380242,550,Select Decision Type,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,324377,0,1,3,0,0,0
1536542383975,320,Check Standard Benefits,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,299300,0,1,3,0,0,0
1536542387460,12226,Click Submit ,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,148962,0,1,2,0,0,0
1536542406915,1615,Submit UW Checker,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,144482,0,1,2,0,0,0
1536542418058,171,Log Out,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,6835,0,1,2,0,0,0
1536542419165,700,Navigate to Landing Page,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,6835,0,1,2,0,0,0
1536542430954,851,User Login,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,564532,0,1,2,0,0,0
1536542444262,1202,Search Life,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,140114,0,1,2,0,0,0
1536542449325,650,Click Initial Assessment,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,293415,0,1,2,0,0,0
1536542453112,1639,Click Make Decision Button,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,144374,0,1,1,0,0,0
1536542458540,32,Click Make Decision Status,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,234250,0,1,1,0,0,0
1536542461659,657,Select Decision Type,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,268973,0,1,1,0,0,0
1536542465459,349,Check Standard Benefits,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,299310,0,1,1,0,0,0
1536542468997,9123,Click Submit ,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,172862,0,1,1,0,0,0
1536542485093,1534,Submit UW Checker,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,144483,0,1,1,0,0,0
1536542496159,178,Log Out,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,6835,0,1,1,0,0,0
1536542497240,704,Navigate to Landing Page,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,6835,0,1,1,0,0,0
1536542509063,893,User Login,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,564532,0,1,1,0,0,0
1536542522407,1224,Search Life,200,OK,5_UI_UW_LOAandCorro_BGB 3-1,text,true,,140494,0,1,1,0,0,0
